Country/Area,Year,Unit, Final consumption expenditure , Household consumption expenditure (including Non-profit institutions serving households) , General government final consumption expenditure , Gross capital formation , Gross fixed capital formation (including Acquisitions less disposals of valuables) , Changes in inventories ,Exports of goods and services,Imports of goods and services,Gross Domestic Product (GDP)
Afghanistan,2022,US$,17780988298.98,14069591331.46,3371397366.07,3344197348.24,3344197348.24, ... ,2642071147.19,7713037498.54,16048981788.93
Africa,2022,US$,2441719599960.52,2062156743364.49,382009331908.92,655577455461.15,595652330161.42,46962561440.50,622510796450.02,811289611173.06,2875884251402.01
Albania,2022,US$,12552122754.84,11082178261.53,1473667071.43,3753339297.36,3753339046.52, ... ,4929033905.94,7340416340.00,14319829482.23
Algeria,2022,US$,117185096741.43,77020911651.77,40089538332.08,91315678600.46,75871683953.72,15591148961.45,35750098080.73,38149487432.01,179427868610.13
Americas,2022,US$,23775471092795.60,19641979072758.90,4157689799111.92,6246838162292.27,6093736210065.46,130837686861.30,4357908415153.07,5699808190644.49,28714113491430.80
Andorra,2022,US$,2450183280.47,1804629180.31,645554100.20,680834023.99,636319220.08,44514804.52,1295470225.47,1257068853.19,3169418676.97
Angola,2022,US$,78699243556.52,63654102920.81,15045140635.71,25288049171.17,25288238082.82,958785588.60,28815056927.69,25174790950.03,108990092153.99
Anguilla,2022,US$,338901332.93,282418933.62,56482399.32,95277524.30,95277524.30, ... ,264548797.66,359732137.02,338995314.68
Antigua and Barbuda,2022,US$,1208892901.36,1007870444.62,210942765.90,600523055.68,600523055.68, ... ,549476067.76,777187517.45,1554182042.38
Argentina,2022,US$,544995820100.84,428435622084.32,116150071049.35,115805342637.38,109739827173.16,-4799010974.21,78088965049.63,84836983174.64,648767263626.70
Armenia,2022,US$,11828028643.88,10252191270.39,1580726336.11,3312410466.49,3085333761.71,4665564637.75,6711629629.61,7721975962.59,14238626094.56
Aruba,2022,US$,2206475651.18,1530685119.42,663812523.25,648840006.33,605950928.76, ... ,3048953087.36,2607970695.03,3458627345.10
Asia,2022,US$,22408937518071.30,16809801751049.40,5633872579503.37,12148550677254.70,11701066487147.10,-202530680394.18,10535368576488.50,9452158986257.68,35357379638662.60
Australia,2022,US$,1163853346890.08,811028943302.63,352471628010.08,366689163624.47,361646567776.43,5569548240.03,260561046009.59,321133030663.38,1465797428418.88
Australia and New Zealand,2022,US$,1341499523089.52,943196807766.86,397650244357.76,421572306208.11,415651720579.27,5133445473.16,308097709279.03,379861637245.76,1686770197610.68
Austria,2022,US$,298336024421.42,213269371437.25,85102697654.47,108778500711.03,106047631154.57,2399883977.08,260123716369.51,245937410300.17,422065288750.94
Azerbaijan,2022,US$,41392004645.15,33805476710.12,7560580377.82,10729101382.82,10695197643.00,33925925.85,22680970748.34,17903546281.84,56596740227.46
Bahamas,2022,US$,9882027596.42,7893280870.16,2014904037.27,2364114501.91,2212073983.25,154779653.21,4197767595.66,3834558306.11,12456174966.77
Bahrain,2022,US$,21074912405.76,15009641888.45,6078959358.06,10545967199.34,9381886000.79,1788254866.29,28401403001.25,24071888218.58,35898451123.45
Bangladesh,2022,US$,265302571078.19,245075176048.94,20119699019.16,121763032989.91,121763032989.91, ... ,46692405950.12,76825008403.86,364956537690.02
Barbados,2022,US$,4134582179.75,3573100264.17,561481915.57,797492012.88,789705606.09,7786407.30,1641128733.67,2019138308.62,4671803289.54
Belarus,2022,US$,43309403712.31,35367035009.02,8126631258.44,13177807434.73,11781278547.43,1145554204.12,31824409320.02,32302582750.14,57270177382.39
Belgium,2022,US$,381073459719.80,256386294413.58,124687165306.22,124158916799.56,120606363814.18, ... ,466772269677.10,455813137210.86,516126406765.69
Belize,2022,US$,2006567927.90,1606650776.64,399830200.70,476376983.21,497772797.11,23097498.50,1299154654.50,1324094547.75,2509307581.18
Benin,2022,US$,12854018085.23,10976924453.84,1877093631.39,5160401832.67,5111556158.31,48845674.36,3917625903.30,5178824595.67,16753221225.53
Bermuda,2022,US$,4044157178.47,3222081653.75,821927863.88,833185984.86,833185984.86, ... ,3513970535.47,1703586570.73,6754932033.19
Bhutan,2022,US$,1798800874.38,1245443995.41,562070490.28,1493873500.88,1492333806.13,1435080.11,656246631.82,1346604620.81,2588733771.06
Bolivia (Plurinational State of),2022,US$,33563578179.62,26526858205.91,7137353983.19,6915196098.58,7112181759.43,-80704586.86,10167133582.98,12094385788.33,38319728286.41
Bosnia and Herzegovina,2022,US$,18392281220.58,14440945514.09,3951972509.74,5689390398.25,4500553609.17,1286768710.87,9024838647.71,11754980812.64,20253847565.33
Botswana,2022,US$,13128668088.09,7717450181.44,5411105735.73,4270189792.59,4056068091.39,210676549.08,6426308416.94,6827670240.94,17510051388.23
Brazil,2022,US$,1585250349418.11,1252530822285.74,359959063742.08,312904592817.96,347922006565.66,4662928629.26,272311059032.78,270476340940.96,1901460843938.78
Br. Virgin Isds,2022,US$,663351006.98,534674758.98,128676246.91,336612808.49,367163630.88,-27114887.54,1719649974.66,1183279824.65,1536531350.18
Brunei Darussalam,2022,US$,7347477134.16,4038698122.81,3338880162.04,4115384713.78,4088148835.07,27244464.66,9520110706.73,8908824641.73,13000439529.30
Bulgaria,2022,US$,51315064611.20,40644071639.08,10728576286.56,14632736340.97,11047163124.88,3445559408.25,43769723418.73,48895998639.76,61691793244.16
Burkina Faso,2022,US$,14499035283.53,11159150253.91,3322216057.27,1875772754.28,1732256437.78,118384400.23,3642835319.62,4834039306.47,16534846693.14
Burundi,2022,US$,3944142194.93,3112102629.88,755628455.23,414245283.45,360854727.58,341956849.03,284135188.62,1119667443.43,3490124043.52
Cabo Verde,2022,US$,1866304875.54,1482025689.28,395167491.18,696642909.01,682483081.02, ... ,906392292.18,1361615835.94,2159882067.57
Cambodia,2022,US$,17376078276.70,16405290034.70,3051193734.87,6914814334.93,6705867094.87,232249123.01,20297134404.91,20200740187.33,24971817549.04
Cameroon,2022,US$,34521138944.92,28988639703.17,4789463460.03,7989037757.47,7960599352.28,517203528.65,7083482287.76,8658492596.13,40321363701.24
Canada,2022,US$,1411761209774.07,1024631445978.24,386772677024.36,424816405455.38,390274492769.83,-6294813196.03,516270187901.11,609193024600.39,1748638464646.79
Caribbean,2022,US$,316192013007.31,255565849545.02,64254393976.28,63432202945.30,59009073825.28,2482985356.23,164008731640.12,165350861458.47,367262126459.49
Cayman Islands,2022,US$,3705980168.72,3038897577.19,667082591.53,1171116210.86,1164823451.23,6292838.33,2942299496.00,2434483424.33,5471266767.07
Central African Republic,2022,US$,2104524557.48,1812075517.23,298727388.41,408476508.93,449286369.06,11578653.12,338250848.56,882867224.39,2031155944.83
Central America,2022,US$,1301647169989.21,1112823006673.25,188776643665.41,328988554918.71,323179180471.26,6546956568.12,614706325369.98,662923140329.80,1573130930917.08
Central Asia,2022,US$,276271258803.85,231198691210.05,45828897571.04,133169770637.50,126314100677.41,9003563822.10,113292438479.48,119072961869.59,410564006394.79
Chad,2022,US$,10448675613.59,9438204156.29,1015136860.18,2175900322.23,2158214907.19,10537436.56,4873780045.38,2927477689.75,15038726475.90
Chile,2022,US$,240012480425.29,197814327045.95,42207469137.41,69748257951.22,68817300175.80,522911877.16,71206289789.61,95483826110.31,281777777156.16
China (mainland),2022,US$,8822351418606.79,6182778087696.65,2639573330910.14,6820293843034.08,6613451345062.31,205477339903.65,3154216985766.92,2398847471828.40,16325035564229.30
"China, Hong Kong SAR",2022,US$,258791262639.15,215368397785.62,42942728152.10,51723026562.53,54835655808.94,-2989405895.15,599727987453.60,591057433882.36,318598258232.25
"China, Macao Special Administrative Region",2022,US$,17135119177.64,11305279279.10,5707615835.10,4975243621.23,4798737599.90,181111651.75,20524348060.93,20714059623.92,22581085736.47
Colombia,2022,US$,323914117655.98,267122234592.85,56674363073.29,73098283872.48,69582346353.06,3515937519.42,50202718662.34,91548054904.74,354936855357.64
Comoros,2022,US$,1322076583.42,1176003150.39,149009254.45,138736387.25,134606733.63, ... ,161486833.16,376226465.70,1239912861.25
Congo,2022,US$,6519022178.05,5216784212.19,1238066805.47,3391217617.66,3359202139.54,50579823.96,6125739216.82,5209654395.98,10244291189.26
Cook Islands,2022,US$,295726884.20,151453137.82,12470904.12,49308953.78,49308953.78, ... ,154981376.49,193731766.42,306285448.46
Costa Rica,2022,US$,53909198504.62,42795355670.13,11110560787.83,11730148344.19,11465914820.94,167776329.04,25171042321.99,21018252278.65,69286276847.58
Croatia,2022,US$,50800445190.61,37419472912.67,13424174935.38,14418293787.29,11869823922.75,1899518699.43,37639521543.50,39331358245.83,63412566372.55
Cuba,2022,US$,78064875774.82,47317987976.85,31625004500.61,8073318948.53,7961866247.00,76277970.34,7876869609.60,8443834463.82,83597276722.04
Cura??ao,2022,US$,2255407990.81,1833707439.22,421700550.30,728288960.12,752551672.05,29067890.62,2067453673.20,2443141178.35,2608023260.80
Cyprus,2022,US$,21951625331.93,17205741075.53,4721342608.53,5705476033.18,5505365068.04,153704829.51,27305552412.47,27091362281.56,27893343345.35
Czechia,2022,US$,139801331368.46,97591341023.43,41996442908.68,69071070684.49,57990104807.82,10403338797.28,187934061690.13,182072300421.77,215976380913.66
Côte d'Ivoire,2022,US$,48624820295.86,40897224630.56,7685139702.61,11946793736.98,15366490943.76,5071122304.51,20661892219.91,17018123437.00,68385681247.08
Democratic People's Republic of Korea,2022,US$,15747151234.59, ... , ... , ... , ... , ... ,878673876.11,1666801911.48,14959023199.22
Democratic Republic of the Congo,2022,US$,36777589999.06,31729289722.29,4707243977.96,30378241903.52,30028097725.15, ... ,17866315509.42,33357607110.25,52172352271.36
Denmark,2022,US$,239405554028.16,161024069782.03,78497666559.34,88451824342.97,80019168331.43,6953028388.77,221553298290.23,193875262884.11,356222057682.83
Djibouti,2022,US$,4113320567.81,3073976636.67,1040002590.05,19287528039.05,851414085.20,10820881739.16,6901903013.10,17650510659.08,3355697398.86
Dominica,2022,US$,592866019.27,457891227.31,134975588.92,138765886.00,138765886.43, ... ,144044795.57,329625063.13,535335895.26
Dominican Republic,2022,US$,76184188009.14,67111251378.46,8974190884.21,29400351021.42,25364367331.23,2095521212.57,22137679950.15,29834463838.61,98037480684.80
Eastern Africa,2022,US$,384916039586.92,323734263459.07,60850754451.50,144306554089.65,123356685756.85,12356069894.73,88809656789.09,163667181443.58,455154425922.48
Eastern Asia,2022,US$,13991006333610.20,9963553317277.20,4068133631443.01,8690386686783.43,8460860959657.84,234903295513.23,5936294467012.63,4976743682029.75,23619905053936.90
Eastern Europe,2022,US$,2263634174703.50,1713728147779.01,548208227326.96,719031966070.71,653037047988.26,72091579109.40,1404315796295.55,1359389909610.55,3009949771033.08
Ecuador,2022,US$,81462978723.87,66896520506.52,14598358158.80,22866199338.82,21629360126.15,-1289504348.08,21899677524.38,25798938136.35,100635339955.86
Egypt,2022,US$,419584648714.95,377057589342.95,42527022572.70,70003334203.50,59146734153.17, ... ,72427456628.06,100745950469.91,461268595815.67
El Salvador,2022,US$,27835907554.21,23531902006.65,4495302255.58,4101562473.22,5327728540.41, ... ,8481567962.57,13224181275.27,27096718970.52
Equatorial Guinea,2022,US$,7846903900.30,5429479398.08,2441799679.29,1444473367.68,1423249192.59,21440746.94,4888964757.65,3939296099.42,9836018452.46
Eritrea,2022,US$,1568938637.62,1267115043.28,301819382.35,135234599.60,135234599.60, ... ,1614284675.72,549856183.67,2398162847.30
Estonia,2022,US$,20027789628.05,14846039987.93,5198974556.26,9793851528.88,8155678373.09,1595458793.14,25350883174.71,26335073470.32,28507450259.48
Ethiopia,2022,US$,80583331656.98,74929116093.85,6153501531.80,28389825339.77,27023107563.39,453854253.80,7753307126.51,16958785874.21,101534718185.61
Europe,2022,US$,15888140452068.40,11578546747795.40,4374443968252.43,4748884921162.52,4586529629451.47,109203653586.37,10360783919112.90,9639819317782.54,21442845958279.10
Fiji,2022,US$,5064198020.17,4054799200.06,1009398818.95,909306508.74,873829350.34,76108686.16,2371017123.07,3412380512.85,4932141138.24
Finland,2022,US$,200360677024.88,136713552733.52,63647124291.36,64504432911.23,59980334662.26,4340119388.93,102826017312.84,108651945100.92,260638456442.80
France,2022,US$,2041597940327.84,1404725648575.63,636561739392.36,660158213309.70,636449495969.02, ... ,831863355320.09,897440163880.97,2637346136135.71
French Polynesia,2022,US$,5759274937.87,3965814897.25,1791567710.91,1460977784.71,1461016905.41, ... ,896620105.34,2381733169.44,5897361726.03
Gabon,2022,US$,7296603503.94,5424538831.71,1889604834.45,7516102636.36,7719806235.22, ... ,8538899891.37,6893981034.45,15819437643.51
Gambia,2022,US$,1791633045.49,1615941444.19,175837362.18,702555539.62,702555539.62, ... ,162849290.64,778852383.00,1863264133.45
Georgia,2022,US$,18912097882.99,16057641741.60,2832657406.10,3556202473.14,3809155015.73,-252954116.06,9610869310.57,11930806145.21,20138737944.58
Germany,2022,US$,2681108348992.12,1891064407429.87,788720170545.96,786728386427.57,740961272975.78, ... ,1819489917799.64,1661038789293.20,3632118283434.66
Ghana,2022,US$,56604622025.83,51823782924.66,4840886726.17,17211923249.87,16934557510.47,283494207.61,22375406921.28,27070748196.11,68868093362.89
Greece,2022,US$,190518329332.97,148282226083.16,42281401973.32,34024303317.69,29751526016.41,4266297613.86,80474678439.31,92696116331.90,211453365530.74
Greenland,2022,US$,2322444567.38,1088220980.78,1234786352.13,1085618123.76,1104879465.25,-2186761.41,934864640.15,1499979341.26,2787816253.44
Grenada,2022,US$,833407020.49,702076887.45,131332840.12,333203759.82,333203759.82, ... ,508948423.93,620926040.68,1062933420.49
Guatemala,2022,US$,76505579350.25,67969832654.95,8528032402.41,12352576265.46,12423892528.44,-60418370.68,13952266778.82,24850629148.91,78182161635.07
Guinea,2022,US$,12342168605.72,10064741126.98,2291603777.21,4338413530.34,2199749948.82,446148553.38,6699028709.01,9024764916.19,13905832111.47
Guinea-Bissau,2022,US$,1438501745.55,1235010287.51,206692582.72,75105053.14,79508622.52,-6832055.75,313577581.07,446589070.30,1438506384.47
Guyana,2022,US$,9155519924.23,7193316489.78,1962203434.45,1082308749.47,1082308749.47, ... ,11317241375.38,7287069410.77,14268000638.32
Haiti,2022,US$,16817838351.51,15049860395.90,1753948726.38,1210945635.56,1210945635.56, ... ,1218085816.80,5291773910.80,13828677969.19
Honduras,2022,US$,25941733593.25,22263292808.27,3670641771.35,5700169332.75,5247987430.31,419635586.65,10587840542.27,15926001063.53,25953927711.33
Hungary,2022,US$,110565344168.69,82034228025.74,28777754110.24,42687356465.86,38523325154.94,3959464315.45,153366493336.79,149323326143.57,157531157312.52
Iceland,2022,US$,17092440669.04,12019810410.93,5100780230.50,4765670945.96,4782954991.77,-17284045.81,9694188794.04,10195504254.04,21556161804.59
India,2022,US$,2169400589344.59,1857748083018.50,311715285478.42,1018654827845.89,998137813905.91,21768802017.92,673739770139.02,773206995399.57,3022292215604.51
Indonesia,2022,US$,723350300376.47,628283241201.44,94177947755.82,364315227313.21,357675312391.02,6751004888.40,259752870540.48,231940863642.52,1122285145768.30
"Iran, Islamic Republic of",2022,US$,316100230308.21,245343954664.11,70778503469.52,198933193608.64,89606564957.24,-600512000011.30,78448424890.94,45602942217.55,498444364866.38
Iraq,2022,US$,101483925853.47,71097554604.33,30386371249.14,53205571406.10,22394497363.08,30811074043.02,95088936719.56,51360118158.23,192925800021.00
Ireland,2022,US$,171307100027.47,116347728613.15,54890613423.83,111926528128.67,101133522727.58, ... ,733508160308.82,503562506080.24,498759590648.16
Israel,2022,US$,293345990111.70,210521601588.58,82972438716.06,115659076750.72,99325062866.45,37772997298.57,134460116466.18,136696971913.73,408208262959.75
Italy,2022,US$,1507710961498.59,1148971112219.87,359186914097.18,423882328307.69,427349057007.76,-3466728700.07,658476015054.80,631575822152.77,1960827402837.25
Jamaica,2022,US$,13796382121.77,11034853994.68,2708817481.46,2510294746.21,2490228704.10,19933604.75,5214695111.11,7015562501.56,14674810246.53
Japan,2022,US$,3349223557632.37,2428654353973.88,978742233088.58,1119366816632.96,1101333991881.67,17611551848.86,891349237521.70,905313578103.14,4509358377061.92
Jordan,2022,US$,44440942655.21,36435234100.09,8006559571.25,7940744006.07,6770291391.60,1173812580.55,16646722950.49,26009432340.49,43119748441.88
Kazakhstan,2022,US$,147614104066.34,121810645553.98,25523184515.19,64413774487.64,57893544400.38,6985309941.77,60294910615.25,56274088819.58,227399477940.88
Kenya,2022,US$,82040924564.73,68851014261.42,13229106206.74,19280551225.36,18783165392.99,-310203584.51,11007936237.96,21959374396.76,94828625234.53
Kingdom of Eswatini,2022,US$,3871578364.29,2907275351.31,964625488.50,567448778.81,567448778.81, ... ,2225560951.03,2284005124.18,4600449094.39
Kiribati,2022,US$,314237018.85,180901096.74,133377887.64,42626158.89,42596524.61,24089.84,18080954.78,174694384.88,187463900.33
Kosovo,2022,US$,8319267484.53,7257037444.55,1059004445.38,2334526379.46,2319768147.56,97417815.08,3271614652.84,5561063079.53,8321652604.56
Kuwait,2022,US$,90110080294.59,56223809996.64,33764328495.46,34892062871.50,34897339829.58, ... ,49867346566.99,52429858161.27,114892974399.17
Kyrgyzstan,2022,US$,8958062855.22,7738530393.77,1261978860.23,4993649207.30,2801850312.72,1907366993.76,2128489832.03,9974283063.25,8243822708.28
Lao People's Democratic Republic,2022,US$,11034442645.74,8354476150.46,2657017534.90,8264043248.71,8264043248.71, ... ,7602366496.41,6110050616.50,20584824410.87
Latin America and the Caribbean,2022,US$,4819777732208.52,3929870890623.97,914885392894.78,1071725396618.54,1089639612536.80,2802276639.10,1410946231461.39,1552032748890.94,5719656506672.43
Latvia,2022,US$,25547189987.84,19483531742.45,6076327340.03,9198178416.49,7293717655.02,1892455822.40,23186294252.48,26100687733.60,32089476432.79
Lebanon,2022,US$,43439867140.60,34746921549.99,7984420922.25,3522717119.38,3505674783.80,29102063.98,8130039955.57,21006622131.93,31159577234.68
Lesotho,2022,US$,2574270130.53,1826971926.72,729179165.40,766517964.11,738624404.51,-672440355.22,890963989.45,2043838756.26,2192029635.62
